id,tanggal_transaksi,toko,produk
318,2024-02-18,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
319,2024-02-18,Hypermart PSX,"Makaroni, Kerupuk Seblak"
320,2024-02-22,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
321,2024-02-22,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
322,2024-02-22,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
323,2024-02-26,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
324,2024-02-26,Primo PI,"Keripik Pisang, Makaroni"
325,2024-02-26,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
326,2024-03-02,Fresh Market Sekip,"Kerupuk Jengkol, Makaroni"
327,2024-03-02,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
328,2024-03-02,Indomart,Makaroni
329,2024-03-06,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
330,2024-03-06,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
331,2024-03-06,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
332,2024-03-10,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
333,2024-03-10,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
334,2024-03-10,Indomart,"Ring, Kerupuk Jengkol"
335,2024-03-14,Farmers PTC,"Keripik Pisang, Stick Keju"
336,2024-03-14,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
337,2024-03-14,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
338,2024-03-18,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
339,2024-03-18,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
340,2024-03-18,Indomart,"Kerupuk Jengkol, Ring"
341,2024-03-22,Farmers PTC,"Keripik Pisang, Stick Keju"
342,2024-03-22,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
343,2024-03-22,Hypermart PSX,"Makaroni, Kerupuk Seblak"
344,2024-03-26,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
345,2024-03-26,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
346,2024-03-26,Indomart,Kerupuk Jengkol
347,2024-03-30,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
348,2024-03-30,Primo PI,"Keripik Pisang, Makaroni"
349,2024-03-30,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
350,2024-04-03,Fresh Market Sekip,"Kerupuk Jengkol, Sanjai Balado"
351,2024-04-03,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
352,2024-04-03,Indomart,"Sanjai Balado, Kerupuk Jengkol, Ring"
353,2024-04-07,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
354,2024-04-07,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
355,2024-04-07,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
356,2024-04-11,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang, Makaroni, Kerupuk Jengkol, Stick Keju"
357,2024-04-11,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
358,2024-04-11,Hypermart PSX,"Keripik Pisang, Makaroni, Kerupuk Jengkol, Kerupuk Ikan, Kerupuk Udang Melati"
359,2024-04-11,Fresh Market Sekip,"Kerupuk Seblak, Kerupuk Udang Melati, Stick Keju, Keripik Singkong Pedas, Kerupuk Ikan"
360,2024-04-11,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir, Kerupuk Jengkol, Kerupuk Udang Mawar, Makaroni"
361,2024-04-15,Farmers PTC,"Kerupuk Jengkol, Keripik Pisang, Stick Keju, Kerupuk Ikan, Kerupuk Seblak"
362,2024-04-15,Primo PI,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Makaroni, Kerupuk Udang Mawar"
363,2024-04-15,Hypermart PSX,"Kerupuk Udang Melati, Keripik Pisang, Kerupuk Jengkol, Stick Keju, Keripik Singkong Asin"
364,2024-04-15,Fresh Market Sekip,"Kerupuk Ikan, Kerupuk Udang Mawar, Makaroni, Sanjai Balado, Keripik Untir-Untir"
365,2024-04-15,Fresh Market Ulu,"Kerupuk Seblak, Keripik Singkong Pedas, Kerupuk Jengkol, Kerupuk Ikan, Stick Keju"
366,2024-04-19,Farmers PTC,"Kerupuk Ikan, Keripik Pisang, Makaroni, Stick Keju, Kerupuk Udang Melati"
367,2024-04-19,Primo PI,"Sanjai Balado, Kerupuk Udang Mawar, Keripik Singkong Pedas, Kerupuk Jengkol, Kerupuk Seblak"
368,2024-04-19,Hypermart PSX,"Keripik Untir-Untir, Makaroni, Kerupuk Ikan, Stick Keju, Kerupuk Jengkol"
369,2024-04-19,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Udang Mawar, Keripik Pisang"
370,2024-04-19,Fresh Market Ulu,"Kerupuk Seblak, Kerupuk Ikan, Stick Keju, Makaroni, Keripik Untir-Untir"
371,2024-04-23,Farmers PTC,"Keripik Singkong Pedas, Kerupuk Udang Mawar, Stick Keju, Kerupuk Ikan, Kerupuk Jengkol"
372,2024-04-23,Primo PI,"Makaroni, Kerupuk Seblak, Keripik Pisang, Sanjai Balado, Keripik Untir-Untir"
373,2024-04-23,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Udang Melati, Makaroni, Stick Keju, Kerupuk Ikan"
374,2024-04-23,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Seblak, Sanjai Balado, Kerupuk Udang Mawar"
375,2024-04-23,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
376,2024-04-27,Farmers PTC,"Kerupuk Udang Melati, Makaroni, Stick Keju, Kerupuk Ikan, Keripik Singkong Pedas"
377,2024-04-27,Primo PI,"Keripik Pisang, Kerupuk Udang Mawar, Kerupuk Jengkol, Sanjai Balado, Kerupuk Seblak"
378,2024-04-27,Hypermart PSX,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Singkong Asin, Keripik Untir-Untir"
379,2024-04-27,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Seblak, Sanjai Balado"
380,2024-04-27,Fresh Market Ulu,"Kerupuk Ikan, Keripik Pisang, Stick Keju, Makaroni, Kerupuk Jengkol"
381,2024-05-01,Farmers PTC,"Kerupuk Udang Mawar, Makaroni, Stick Keju, Kerupuk Ikan, Keripik Singkong Pedas"
382,2024-05-01,Primo PI,"Keripik Pisang, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Melati, Kerupuk Seblak"
383,2024-05-01,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Udang Melati, Stick Keju, Makaroni, Keripik Singkong Asin"
384,2024-05-01,Fresh Market Sekip,"Kerupuk Ikan, Stick Keju, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Udang Mawar"
385,2024-05-01,Fresh Market Ulu,"Kerupuk Udang Melati, Makaroni, Kerupuk Ikan, Keripik Pisang, Kerupuk Seblak"
386,2024-05-05,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang, Stick Keju, Kerupuk Jengkol, Makaroni"
387,2024-05-05,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
388,2024-05-05,Hypermart PSX,"Keripik Pisang, Kerupuk Jengkol, Makaroni, Stick Keju, Kerupuk Seblak"
389,2024-05-05,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Ikan, Kerupuk Udang Mawar"
390,2024-05-05,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
391,2024-05-09,Farmers PTC,"Kerupuk Jengkol, Keripik Pisang, Stick Keju, Makaroni, Kerupuk Udang Melati"
392,2024-05-09,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
393,2024-05-09,Hypermart PSX,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Stick Keju, Makaroni"
394,2024-05-09,Fresh Market Sekip,"Kerupuk Ikan, Sanjai Balado, Keripik Pisang, Kerupuk Udang Mawar, Kerupuk Seblak"
395,2024-05-09,Fresh Market Ulu,"Makaroni, Kerupuk Udang Melati, Stick Keju, Keripik Singkong Pedas, Kerupuk Jengkol"
396,2024-05-13,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
397,2024-05-13,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Melati, Kerupuk Ikan"
398,2024-05-13,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang"
399,2024-05-13,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Mawar"
400,2024-05-13,Fresh Market Ulu,"Makaroni, Kerupuk Udang Melati, Stick Keju, Keripik Pisang, Kerupuk Ikan"
401,2024-05-17,Farmers PTC,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Makaroni, Stick Keju"
402,2024-05-17,Primo PI,"Keripik Pisang, Sanjai Balado, Kerupuk Ikan, Kerupuk Udang Mawar, Kerupuk Seblak"
403,2024-05-17,Hypermart PSX,"Makaroni, Kerupuk Udang Melati, Stick Keju, Kerupuk Jengkol, Keripik Singkong Asin"
404,2024-05-17,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Jengkol, Sanjai Balado, Kerupuk Ikan"
405,2024-05-17,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Udang Mawar"
406,2024-05-21,Farmers PTC,"Kerupuk Udang Melati, Keripik Singkong Pedas, Stick Keju, Kerupuk Jengkol, Makaroni"
407,2024-05-21,Primo PI,"Kerupuk Ikan, Keripik Pisang, Sanjai Balado, Kerupuk Udang Mawar, Kerupuk Seblak"
408,2024-05-21,Hypermart PSX,"Kerupuk Jengkol, Makaroni, Stick Keju, Keripik Singkong Asin, Kerupuk Udang Melati"
409,2024-05-21,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Ikan, Kerupuk Jengkol"
410,2024-05-21,Fresh Market Ulu,"Makaroni, Stick Keju, Kerupuk Udang Melati, Keripik Pisang, Kerupuk Jengkol"
411,2024-05-25,Farmers PTC,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Makaroni, Stick Keju"
412,2023-10-01,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang"
413,2023-10-01,Primo PI,"Kerupuk Jengkol, Stick Keju"
414,2023-10-01,Hypermart PSX,"Keripik Singkong Pedas, Kerupuk Ikan"
415,2023-10-05,Fresh Market Sekip,"Kerupuk Udang Mawar, Makaroni"
416,2023-10-05,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
417,2023-10-05,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
418,2023-10-09,Farmers PTC,"Keripik Pisang, Stick Keju"
419,2023-10-09,Primo PI,"Kerupuk Seblak, Kerupuk Udang Melati"
420,2023-10-09,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
421,2023-10-13,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
422,2023-10-13,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
423,2023-10-13,Indomart,"Makaroni, Ring"
424,2023-10-17,Farmers PTC,"Keripik Pisang, Stick Keju"
425,2023-10-17,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
426,2023-10-17,Hypermart PSX,"Makaroni, Kerupuk Seblak"
427,2023-10-21,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
428,2023-10-21,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
429,2023-10-21,Indomart,"Ring, Kerupuk Jengkol"
430,2023-10-25,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
431,2023-10-25,Primo PI,"Keripik Pisang, Makaroni"
432,2023-10-25,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
433,2023-10-29,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Ikan"
434,2023-10-29,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
435,2023-10-29,Indomart,"Ring, Makaroni, Kerupuk Jengkol"
436,2023-11-02,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
437,2023-11-02,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
438,2023-11-02,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
439,2023-11-06,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
440,2023-11-06,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
441,2023-11-06,Indomart,"Makaroni, Kerupuk Jengkol"
442,2023-11-10,Farmers PTC,"Keripik Pisang, Stick Keju"
443,2023-11-10,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
444,2023-11-10,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
445,2023-11-14,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
446,2023-11-14,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
447,2023-11-14,Indomart,"Makaroni, Ring"
448,2023-11-18,Farmers PTC,"Keripik Pisang, Stick Keju"
449,2023-11-18,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
450,2023-11-18,Hypermart PSX,"Makaroni, Kerupuk Jengkol, Ring"
451,2023-11-22,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
452,2023-11-22,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
453,2023-11-22,Indomart,"Kerupuk Jengkol, Ring"
454,2023-11-26,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
455,2023-11-26,Primo PI,"Keripik Pisang, Makaroni"
456,2023-11-26,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
457,2023-11-30,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Udang Melati"
458,2023-11-30,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
459,2023-11-30,Indomart,"Kerupuk Jengkol, Makaroni"
460,2023-12-04,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
461,2023-12-04,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
462,2023-12-04,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
463,2023-12-08,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
464,2023-12-08,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
465,2023-12-08,Indomart,"Makaroni, Kerupuk Jengkol"
466,2023-12-12,Farmers PTC,"Keripik Pisang, Stick Keju"
467,2023-12-12,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
468,2023-12-12,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
469,2023-12-16,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
470,2023-12-16,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
471,2023-12-16,Indomart,"Kerupuk Jengkol, Ring, Makaroni"
472,2023-12-20,Farmers PTC,"Keripik Pisang, Stick Keju"
473,2023-12-20,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
474,2023-12-20,Hypermart PSX,"Makaroni, Kerupuk Seblak"
475,2023-12-24,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
476,2023-12-24,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
477,2023-12-24,Indomart,"Ring, Kerupuk Jengkol"
478,2023-12-28,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
479,2023-12-28,Primo PI,"Keripik Pisang, Makaroni"
480,2023-12-28,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
481,2024-01-01,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang"
482,2024-01-01,Primo PI,"Kerupuk Jengkol, Stick Keju"
483,2024-01-01,Hypermart PSX,"Keripik Singkong Pedas, Kerupuk Ikan"
484,2024-01-05,Fresh Market Sekip,"Kerupuk Udang Mawar, Makaroni"
485,2024-01-05,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
486,2024-01-05,Indomart,"Makaroni, Ring"
487,2024-01-09,Farmers PTC,"Keripik Pisang, Stick Keju"
488,2024-01-09,Primo PI,"Kerupuk Seblak, Kerupuk Udang Melati"
489,2024-01-09,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
490,2024-01-13,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
491,2024-01-13,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
492,2024-01-13,Indomart,"Kerupuk Jengkol, Ring, Makaroni"
493,2024-01-17,Farmers PTC,"Keripik Pisang, Stick Keju"
494,2024-01-17,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
495,2024-01-17,Hypermart PSX,"Makaroni, Kerupuk Seblak"
496,2024-01-21,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
497,2024-01-21,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
498,2024-01-21,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
499,2024-01-25,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
500,2024-01-25,Primo PI,"Keripik Pisang, Makaroni"
501,2024-01-25,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
502,2024-01-29,Fresh Market Sekip,"Kerupuk Jengkol, Sanjai Balado"
503,2024-01-29,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
504,2024-01-29,Indomart,"Ring, Makaroni"
505,2024-02-02,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
506,2024-02-02,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
507,2024-02-02,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
508,2024-02-06,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
509,2024-02-06,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
510,2024-02-06,Indomart,"Makaroni, Kerupuk Jengkol"
511,2024-02-10,Farmers PTC,"Keripik Pisang, Stick Keju"
512,2024-02-10,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
513,2024-02-10,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
514,2024-02-14,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
515,2024-02-14,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
516,2024-02-14,Indomart,"Ring, Makaroni"
517,2024-02-18,Farmers PTC,"Keripik Pisang, Stick Keju"
518,2024-02-18,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
519,2024-02-18,Hypermart PSX,"Makaroni, Kerupuk Seblak"
520,2024-02-22,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
521,2024-02-22,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
522,2024-02-22,Indomart,"Ring, Kerupuk Jengkol, Makaroni"
523,2024-02-26,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
524,2024-02-26,Primo PI,"Keripik Pisang, Makaroni"
525,2024-02-26,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
526,2024-03-02,Fresh Market Sekip,"Kerupuk Jengkol, Makaroni"
527,2024-03-02,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
528,2024-03-02,Indomart,Makaroni
529,2024-03-06,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
530,2024-03-06,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
531,2024-03-06,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
532,2024-03-10,Fresh Market Sekip,"Kerupuk Udang Melati, Kerupuk Seblak"
533,2024-03-10,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir"
534,2024-03-10,Indomart,"Ring, Kerupuk Jengkol"
535,2024-03-14,Farmers PTC,"Keripik Pisang, Stick Keju"
536,2024-03-14,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
537,2024-03-14,Hypermart PSX,"Makaroni, Keripik Singkong Asin"
538,2024-03-18,Fresh Market Sekip,"Kerupuk Udang Mawar, Keripik Singkong Pedas"
539,2024-03-18,Fresh Market Ulu,"Sanjai Balado, Kerupuk Ikan"
540,2024-03-18,Indomart,"Kerupuk Jengkol, Ring"
541,2024-03-22,Farmers PTC,"Keripik Pisang, Stick Keju"
542,2024-03-22,Primo PI,"Kerupuk Ikan, Kerupuk Udang Melati"
543,2024-03-22,Hypermart PSX,"Makaroni, Kerupuk Seblak"
544,2024-03-26,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Asin"
545,2024-03-26,Fresh Market Ulu,"Keripik Untir-Untir, Sanjai Balado"
546,2024-03-26,Indomart,Kerupuk Jengkol
547,2024-03-30,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
548,2024-03-30,Primo PI,"Keripik Pisang, Makaroni"
549,2024-03-30,Hypermart PSX,"Kerupuk Seblak, Keripik Singkong Pedas"
550,2024-04-03,Fresh Market Sekip,"Kerupuk Jengkol, Sanjai Balado"
551,2024-04-03,Fresh Market Ulu,"Kerupuk Udang Melati, Keripik Untir-Untir"
552,2024-04-03,Indomart,"Sanjai Balado, Kerupuk Jengkol, Ring"
553,2024-04-07,Farmers PTC,"Kerupuk Udang Mawar, Stick Keju"
554,2024-04-07,Primo PI,"Keripik Singkong Pedas, Kerupuk Jengkol"
555,2024-04-07,Hypermart PSX,"Kerupuk Ikan, Keripik Pisang"
556,2024-04-11,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang, Makaroni, Kerupuk Jengkol, Stick Keju"
557,2024-04-11,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
558,2024-04-11,Hypermart PSX,"Keripik Pisang, Makaroni, Kerupuk Jengkol, Kerupuk Ikan, Kerupuk Udang Melati"
559,2024-04-11,Fresh Market Sekip,"Kerupuk Seblak, Kerupuk Udang Melati, Stick Keju, Keripik Singkong Pedas, Kerupuk Ikan"
560,2024-04-11,Fresh Market Ulu,"Sanjai Balado, Keripik Untir-Untir, Kerupuk Jengkol, Kerupuk Udang Mawar, Makaroni"
561,2024-04-15,Farmers PTC,"Kerupuk Jengkol, Keripik Pisang, Stick Keju, Kerupuk Ikan, Kerupuk Seblak"
562,2024-04-15,Primo PI,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Makaroni, Kerupuk Udang Mawar"
563,2024-04-15,Hypermart PSX,"Kerupuk Udang Melati, Keripik Pisang, Kerupuk Jengkol, Stick Keju, Keripik Singkong Asin"
564,2024-04-15,Fresh Market Sekip,"Kerupuk Ikan, Kerupuk Udang Mawar, Makaroni, Sanjai Balado, Keripik Untir-Untir"
565,2024-04-15,Fresh Market Ulu,"Kerupuk Seblak, Keripik Singkong Pedas, Kerupuk Jengkol, Kerupuk Ikan, Stick Keju"
566,2024-04-19,Farmers PTC,"Kerupuk Ikan, Keripik Pisang, Makaroni, Stick Keju, Kerupuk Udang Melati"
567,2024-04-19,Primo PI,"Sanjai Balado, Kerupuk Udang Mawar, Keripik Singkong Pedas, Kerupuk Jengkol, Kerupuk Seblak"
568,2024-04-19,Hypermart PSX,"Keripik Untir-Untir, Makaroni, Kerupuk Ikan, Stick Keju, Kerupuk Jengkol"
569,2024-04-19,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Udang Mawar, Keripik Pisang"
570,2024-04-19,Fresh Market Ulu,"Kerupuk Seblak, Kerupuk Ikan, Stick Keju, Makaroni, Keripik Untir-Untir"
571,2024-04-23,Farmers PTC,"Keripik Singkong Pedas, Kerupuk Udang Mawar, Stick Keju, Kerupuk Ikan, Kerupuk Jengkol"
572,2024-04-23,Primo PI,"Makaroni, Kerupuk Seblak, Keripik Pisang, Sanjai Balado, Keripik Untir-Untir"
573,2024-04-23,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Udang Melati, Makaroni, Stick Keju, Kerupuk Ikan"
574,2024-04-23,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Seblak, Sanjai Balado, Kerupuk Udang Mawar"
575,2024-04-23,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
576,2024-04-27,Farmers PTC,"Kerupuk Udang Melati, Makaroni, Stick Keju, Kerupuk Ikan, Keripik Singkong Pedas"
577,2024-04-27,Primo PI,"Keripik Pisang, Kerupuk Udang Mawar, Kerupuk Jengkol, Sanjai Balado, Kerupuk Seblak"
578,2024-04-27,Hypermart PSX,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Singkong Asin, Keripik Untir-Untir"
579,2024-04-27,Fresh Market Sekip,"Kerupuk Jengkol, Kerupuk Udang Melati, Keripik Singkong Pedas, Kerupuk Seblak, Sanjai Balado"
580,2024-04-27,Fresh Market Ulu,"Kerupuk Ikan, Keripik Pisang, Stick Keju, Makaroni, Kerupuk Jengkol"
581,2024-05-01,Farmers PTC,"Kerupuk Udang Mawar, Makaroni, Stick Keju, Kerupuk Ikan, Keripik Singkong Pedas"
582,2024-05-01,Primo PI,"Keripik Pisang, Kerupuk Jengkol, Sanjai Balado, Kerupuk Udang Melati, Kerupuk Seblak"
583,2024-05-01,Hypermart PSX,"Kerupuk Jengkol, Kerupuk Udang Melati, Stick Keju, Makaroni, Keripik Singkong Asin"
584,2024-05-01,Fresh Market Sekip,"Kerupuk Ikan, Stick Keju, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Udang Mawar"
585,2024-05-01,Fresh Market Ulu,"Kerupuk Udang Melati, Makaroni, Kerupuk Ikan, Keripik Pisang, Kerupuk Seblak"
586,2024-05-05,Farmers PTC,"Kerupuk Udang Melati, Keripik Pisang, Stick Keju, Kerupuk Jengkol, Makaroni"
587,2024-05-05,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
588,2024-05-05,Hypermart PSX,"Keripik Pisang, Kerupuk Jengkol, Makaroni, Stick Keju, Kerupuk Seblak"
589,2024-05-05,Fresh Market Sekip,"Kerupuk Udang Melati, Keripik Singkong Pedas, Sanjai Balado, Kerupuk Ikan, Kerupuk Udang Mawar"
590,2024-05-05,Fresh Market Ulu,"Kerupuk Ikan, Stick Keju, Makaroni, Keripik Pisang, Kerupuk Jengkol"
591,2024-05-09,Farmers PTC,"Kerupuk Jengkol, Keripik Pisang, Stick Keju, Makaroni, Kerupuk Udang Melati"
592,2024-05-09,Primo PI,"Kerupuk Ikan, Keripik Singkong Pedas, Kerupuk Udang Mawar, Sanjai Balado, Keripik Untir-Untir"
